Cq,1,2,3,4,5,6
A,24.180858612060547,20.74011993408203,17.183801651000977,13.774299621582031,10.29498291015625,6.967061996459961
B,24.15711784362793,20.77970314025879,17.171794891357422,13.768831253051758,10.362966537475586,6.870273113250732
C,24.238229751586914,20.78700828552246,17.147598266601563,13.779314041137695,10.292966842651367,6.735703945159912
